query,accession,title,organism,n_samples,date,has_pub,type,platform,summary
Alzheimer's disease AND cortex AND GPL570,GSM242089,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 5,Homo sapiens,0.0,2007/12/05,False,,570,primary visual cortex 5
Alzheimer's disease AND cortex AND GPL570,GSM242088,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 4,Homo sapiens,0.0,2007/12/05,False,,570,primary visual cortex 4
Alzheimer's disease AND cortex AND GPL570,GSM242087,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 3,Homo sapiens,0.0,2007/12/05,False,,570,primary visual cortex 3
Alzheimer's disease AND cortex AND GPL570,GSM242086,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 2,Homo sapiens,0.0,2007/12/05,False,,570,primary visual cortex 2
Alzheimer's disease AND cortex AND GPL570,GSM242085,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 1,Homo sapiens,0.0,2007/12/05,False,,570,primary visual cortex 1
Alzheimer's disease AND cortex AND GPL570,GSM242065,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 5,Homo sapiens,0.0,2007/12/05,False,,570,posterior cingulate cortex 5
Alzheimer's disease AND cortex AND GPL570,GSM242064,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 4,Homo sapiens,0.0,2007/12/05,False,,570,posterior cingulate cortex 4
Alzheimer's disease AND cortex AND GPL570,GSM242063,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 3,Homo sapiens,0.0,2007/12/05,False,,570,posterior cingulate cortex 3
Alzheimer's disease AND cortex AND GPL570,GSM242062,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 2,Homo sapiens,0.0,2007/12/05,False,,570,posterior cingulate cortex 2
Alzheimer's disease AND cortex AND GPL570,GSM242061,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 1,Homo sapiens,0.0,2007/12/05,False,,570,posterior cingulate cortex 1
Alzheimer's disease AND cortex AND GPL570,GSM242048,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 6,Homo sapiens,0.0,2007/12/05,False,,570,entorhinal cortex 6
Alzheimer's disease AND cortex AND GPL570,GSM242047,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 5,Homo sapiens,0.0,2007/12/05,False,,570,entorhinal cortex 5
Alzheimer's disease AND cortex AND GPL570,GSM242046,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 4,Homo sapiens,0.0,2007/12/05,False,,570,entorhinal cortex 4
Alzheimer's disease AND cortex AND GPL570,GSM242045,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 3,Homo sapiens,0.0,2007/12/05,False,,570,entorhinal cortex 3
Alzheimer's disease AND cortex AND GPL570,GSM242044,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 2,Homo sapiens,0.0,2007/12/05,False,,570,entorhinal cortex 2
Alzheimer's disease AND cortex AND GPL570,GSM242043,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 1,Homo sapiens,0.0,2007/12/05,False,,570,entorhinal cortex 1
Alzheimer's disease AND cortex AND GPL570,GSM238963,VCX_affected_19,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238955,VCX_affected_18,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238953,VCX_affected_17,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238952,VCX_affected_16,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238951,VCX_affected_15,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238949,VCX_affected_14,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238948,VCX_affected_13,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238947,VCX_affected_12,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238946,VCX_affected_11,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238945,VCX_affected_10,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238944,VCX_affected_9,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238943,VCX_affected_8,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238942,VCX_affected_7,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238941,VCX_affected_6,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238877,VCX_affected_5,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238875,VCX_affected_4,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238874,VCX_affected_3,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238873,VCX_affected_2,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND cortex AND GPL570,GSM238872,VCX_affected_1,Homo sapiens,0.0,2007/10/23,False,,570,"brain, primary visual cortex"
Alzheimer's disease AND blood AND GPL10558,GSE97311,Induced Mesenchymal stromal cells derived from iPS cells from aged individuals acquire a rejuvenation signature and a MSC-specific secretome,Homo sapiens,18.0,2019/03/13,True,Expression profiling by array,10558,"human induced pluripotent stem cells (ipscs) - derived mesenchymal stromal cells (imscs) are a potentially useful cell type for circumventing ageing-related shortfalls associated with primary mesenchymal or skeletal stromal cells (mscs/sscs). to date, the extent of the reflection of ageing-hallmarks in imscs differentiated from ipscs derived from elderly donors remains unclear. in this study, we show that fetal (55 days post conception) femur-derived mscs and mscs isolated from aged (60 – 74 years) donors differ in their transcriptome and secretome profile. yet, imscs irrespective of donor age and cell type acquired a rejuvenation gene signature, specifically, inhbe, dnmt3b, pou5f1p1, cdkn1c, gcnt2; also present in pluripotent stem cells but not observed in the parental mscs. furthermore, dendrograms generated from the transcriptomes of imscs derived from the human embryonic stem cell line h1, fetal and aged mscs always clustered together with the parental fetal femur-derived mscs. in addition, these were distinct from mscs isolated from aged donors when comparing gene ontologies (gos) related to ageing processes. critically, in terms of regenerative medicine applications, imscs re-acquired a similar secretome (e.g. serpine1, sdf-1a, hgf, il6, il10, thbs1) to that of the parental fetal mscs, thus re-enforcing their capabilities of imparting context dependent paracrine signaling."
Alzheimer's disease AND blood AND GPL10558,GSM2561516,fetal MSC 2,Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561515,fetal MSC 1,Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561514,aged MSC (70y),Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561513,aged MSC (60y),Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561512,H9_a,Homo sapiens,0.0,2019/03/13,False,,10558,embryonic stem cells
Alzheimer's disease AND blood AND GPL10558,GSM2561511,H1_b,Homo sapiens,0.0,2019/03/13,False,,10558,embryonic stem cells
Alzheimer's disease AND blood AND GPL10558,GSM2561510,H1_a,Homo sapiens,0.0,2019/03/13,False,,10558,embryonic stem cells
Alzheimer's disease AND blood AND GPL10558,GSM2561509,iMSC (hESC H1),Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells derived from embryonic stem cells
Alzheimer's disease AND blood AND GPL10558,GSM2561508,"iMSC (fetal, line 1, viral)",Homo sapiens,0.0,2019/03/13,False,,10558,ipscs-derived mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561507,"iPSC (MSC, fetal, line 1, episomal 2)",Homo sapiens,0.0,2019/03/13,False,,10558,induced pluripotent stem cells (ipscs)
Alzheimer's disease AND blood AND GPL10558,GSM2561506,"iPSC (MSC, fetal, line 1, episomal 1)",Homo sapiens,0.0,2019/03/13,False,,10558,induced pluripotent stem cells (ipscs)
Alzheimer's disease AND blood AND GPL10558,GSM2561505,"iPSC (MSC, fetal, line 1, viral)",Homo sapiens,0.0,2019/03/13,False,,10558,induced pluripotent stem cells (ipscs)
Alzheimer's disease AND blood AND GPL10558,GSM2561504,fetal MSC 3,Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561503,"iPSC (MSC, 62y, episomal)",Homo sapiens,0.0,2019/03/13,False,,10558,induced pluripotent stem cells (ipscs)
Alzheimer's disease AND blood AND GPL10558,GSM2561502,aged MSC (62y),Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561501,"iMSC (74y, viral)",Homo sapiens,0.0,2019/03/13,False,,10558,ipscs-derived mesenchymal stromal cells
Alzheimer's disease AND blood AND GPL10558,GSM2561500,"iPSC (MSC, 74y, viral)",Homo sapiens,0.0,2019/03/13,False,,10558,induced pluripotent stem cells (ipscs)
Alzheimer's disease AND blood AND GPL10558,GSM2561499,aged MSC (74y),Homo sapiens,0.0,2019/03/13,False,,10558,mesenchymal stromal cells
amyotrophic lateral sclerosis AND control AND GPL570,GSE68608,C9ORF72 GGGGCC expanded repeats produce splicing dysregulation which correlates with disease severity in amyotrophic lateral sclerosis,Homo sapiens,80.0,2015/05/08,True,Expression profiling by array,20149;570,this superseries is composed of the subseries listed below.
amyotrophic lateral sclerosis AND control AND GPL570,GSE68605,C9ORF72 GGGGCC expanded repeats produce splicing dysregulation which correlates with disease severity in amyotrophic lateral sclerosis [HG-U133_Plus_2],Homo sapiens,11.0,2015/05/08,True,Expression profiling by array,570,"objective: an intronic ggggcc-repeat expansion of c9orf72 is the most common genetic variant of amyotrophic lateral sclerosis (als) and frontotemporal dementia. the mechanism of neurodegeneration is unknown, but a direct effect on rna processing mediated by rna foci transcribed from the repeat sequence has been proposed. results: gene level analysis revealed a number of differentially expressed networks and both cell types exhibited dysregulation of a network functionally enriched for genes encoding ‘rna splicing’ proteins. there was a significant overlap of these genes with an independently generated list of ggggcc-repeat protein binding partners. at the exon level, in lymphoblastoid cells derived from c9orf72-als patients splicing consistency was lower than in lines derived from non-c9orf72 als patients or controls; furthermore splicing consistency was lower in samples derived from patients with faster disease progression. frequency of sense rna foci showed a trend towards being higher in lymphoblastoid cells derived from patients with shorter survival, but there was no detectable correlation between disease severity and dna expansion length. significance: up-regulation of genes encoding predicted binding partners of the c9orf72 expansion is consistent with an attempted compensation for sequestration of these proteins. a number of studies have analysed changes in the transcriptome caused by c9orf72 expansion, but to date findings have been inconsistent. as a potential explanation we suggest that dynamic sequestration of rna processing proteins by rna foci might lead to a loss of splicing consistency; indeed in our samples measurement of splicing consistency correlates with disease severity."
amyotrophic lateral sclerosis AND control AND GPL570,GSE56808,"Gene expression signatures in motor neuron disease fibroblasts reveal dysregulation of metabolism, hypoxia-response and RNA processing functions",Homo sapiens,18.0,2014/04/16,True,Expression profiling by array,570,"amyotrophic lateral sclerosis and primary lateral sclerosis are two syndromic variants within the motor neurone disease spectrum. whilst primary lateral sclerosis is associated with loss of upper motor neurons and a more benign disease course up to 17yrs, amyotrophic lateral sclerosis is caused by loss of both upper and lower motor neurons and has an average disease course of 2-3 years. the majority of cases are sporadic, thereby limiting the availability of cellular models for investigating pathogenic disease mechanisms. the aim of the present study was to evaluate fibroblasts as a cellular model for sporadic amyotrophic lateral sclerosis and primary lateral sclerosis, to establish whether disease-related dysregulated biological processes recapitulate those seen in the central nervous system and to elucidate pathways that distinguish between the two disease phenotypes."
amyotrophic lateral sclerosis AND control AND GPL570,GSE40438,Gene expression profiling of resistant and vulnerable motor neuron subtypes in amyotrophic lateral sclerosis,Homo sapiens,8.0,2013/03/01,True,Expression profiling by array,570,"a consistent clinical feature of amyotrophic lateral sclerosis (als) is the sparing of eye movements. pathological studies have confirmed that there is relative sparing of the cranial motor nuclei of the oculomotor, trochlear and abducens nerves, although pathological changes resembling those seen in anterior horn cells are present to a lesser degree. the aim of the present study is to combine lcm and microarray analysis to study the differences between motor neurons that are selectively resistant (oculomotor neurons) and those that are vulnerable (lumbar spinal motor neurons) to the disease process in amyotrophic lateral sclerosis."
amyotrophic lateral sclerosis AND control AND GPL570,GDS4130,Endoplasmic reticulum stress effect on lymphoblastoid cells of monozygotic twins,Homo sapiens,104.0,2010/03/30,True,Expression profiling by array,570,"analysis of immortalized b cells from mz twin pairs (14 of european ancestry, 12 african american) treated in vitro with thapsigargin to induce er stress. er stress induces the unfolded protein response (upr). results provide insight into the molecular basis of the upr response within twin pairs."
amyotrophic lateral sclerosis AND control AND GPL570,GDS4129,Endoplasmic reticulum stress effect on lymphoblastoid cells of unrelated individuals,Homo sapiens,120.0,2010/03/30,True,Expression profiling by array,570,analysis of immortalized b cells from 60 unrelated individuals (grandparents in the hapmap ceph-utah pedigrees) treated in vitro with tunicamycin to induce er stress. er stress induces the unfolded protein response (upr). results provide insight into molecular mechanisms underlying upr response.
amyotrophic lateral sclerosis AND control AND GPL570,GSE19332,Mutations in CHMP2B in lower motor neuron predominant amyotrophic lateral sclerosis (ALS),Homo sapiens,10.0,2010/03/01,True,Expression profiling by array,570,"gene expression profiling has been performed on motor cortex and spinal cord homogenates and of sporadic als cases and controls, to identify genes and pathways differentially expressed in als. more recent studies have combined the use of laser capture microdissection (lcm) with gene expression profiling to isolate the motor neurons from the surrounding cells, such as microglia and astrocytes, in order to determine those genes differentially expressed in the vulnerable cell population – i.e. motor neuron."
amyotrophic lateral sclerosis AND control AND GPL570,GDS3730,Transactive response DNA-binding protein (TDP-43) knockdown effect on embryonic kidney cells,Homo sapiens,8.0,2009/10/20,True,Expression profiling by array,570,analysis of hek293e cells depleted of transactive response dna-binding protein (tdp-43). inclusions of tdp-43 are hallmarks of frontotemporal dementia and amyotrophic lateral sclerosis (als). results provide insight into the molecular basis of tdp-43 misfunction in neurodegenerative diseases.
amyotrophic lateral sclerosis AND control AND GPL6244,GSE143680,Integrated Genome and Transcriptome Analyses Reveal the Mechanism of Genome Instability in Ataxia with Oculomotor Apraxia 2.,Homo sapiens,24.0,2021/04/29,True,Expression profiling by array,6244,"mutations in the setx gene, which encodes senataxin, are associated with the progressive neurodegenerative diseases ataxia with oculomotor apraxia 2 (aoa2) and amyotrophic lateral sclerosis 4 (als4). to identify the causal defect in aoa2, patient-derived cells and setx knockouts (human and mouse) were analyzed using integrated genomic and transcriptomic approaches. we observed a genome-wide increase in chromosome instability (gains and losses) within genes and at chromosome fragile sites, resulting in changes to gene expression profiles. senataxin loss caused increased rna polymerase ii pausing events (transcription stress) near promoters that correlated with high gcskew and r-loop accumulation at promoter-proximal regions. notably, the chromosomal regions with gains and losses overlapped with regions of elevated transcription stress. aberrant r-loops were resolved by transcription-coupled repair (tcr), in reactions dependent upon the cockayne syndrome protein csb. we found that csb was required for the recruitment of the tcr endonucleases xpg and xpf, and recombination factors to target and resolve transcription bubbles containing r-loops and promote genomic instability. these results show that cells derived from individuals with ataxia with oculomotor apraxia 2 exhibit transcription stress giving rise to genome-wide chromosomal fragility, termed transcription stress-induced fragile sites (tsfs), in transcribed regions of the mammalian genome."
amyotrophic lateral sclerosis AND control AND GPL6244,GSE26276,Evaluation of differential gene expression in patients with amyotrophic lateral sclerosis (ALS),Homo sapiens,9.0,2011/02/26,True,Expression profiling by array,6244,we compared gene expression profiles of als patients with normal patients and with multifocal motor neuropathy (mmn) patients.
ALS AND motor neuron AND GPL570,GSE106382,"Expression data of iPSC-derived motor neurons from healthy donor, FALS, SALS, and drug-treated them",Homo sapiens,24.0,2018/06/30,True,Expression profiling by array,570,"we established several ipscs from healthy donors, familial als (fals) patients, and sporadic als (sals) patients. using our differentiation protocol originally developed, we differentiated these ipscs toward spinal motor neurons (mns) and reproduced als pathology in a dish. in addition, we screened a drug candidate which suppressed the detected als-related phenotypes of these als models. for clarifying the molecular mechanisms of the als pathologies and the screened drug, we used microarrays to detail the global program of gene expression reflecting the mn pathology of fals/sals, and carefully compared with healthy donors and/or drug-treated als models based on their expression profiles."
ALS AND motor neuron AND GPL570,GSE20589,Microarray analysis identifies the gene signature of surviving motor neurons in human SOD1-related motor neuron disease,Homo sapiens,10.0,2011/01/01,True,Expression profiling by array,570,"gene expression profiling has been performed previously on motor cortex and spinal cord homogenates and of sporadic als cases and controls, to identify genes and pathways differentially expressed in als. more recent studies have combined the use of laser capture microdissection (lcm) with gene expression profiling to isolate the motor neurons from the surrounding cells, such as microglia and astrocytes, in order to determine those genes differentially expressed in the vulnerable cell population – i.e. motor neuron. the aim of the present study is to combine lcm and microarray analysis to determine those genes and pathways differentially expressed in mns from human sod1-related mnd and to establish potential pathways for therapeutic intervention. keywords: human motor neurons"
ALS AND motor neuron AND GPL570,GSM2836957,SALS iPSC (SALS30)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836956,SALS iPSC (SALS17)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836955,SALS iPSC (SALS14)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836954,SALS iPSC (SALS12)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836953,SOD1-ALS iPSC (2SOD1-4)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836952,SOD1-ALS iPSC (1SOD1-4)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836951,TARDBP-ALS iPSC (A21428)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836950,TARDBP-ALS iPSC (A21412)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836949,FUS-ALS iPSC (FALS2e23)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836948,FUS-ALS iPSC (FALS2e3)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836947,SALS iPSC (SALS30)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836946,SALS iPSC (SALS17)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836945,SALS iPSC (SALS14)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836944,SALS iPSC (SALS12)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836943,SOD1-ALS iPSC (2SOD1-4)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836942,SOD1-ALS iPSC (1SOD1-4)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836941,TARDBP-ALS iPSC (A21428)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836940,TARDBP-ALS iPSC (A21412)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836939,FUS-ALS iPSC (FALS2e23)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM2836938,FUS-ALS iPSC (FALS2e3)-derived MN,Homo sapiens,0.0,2018/06/30,False,,570,spinal motor neurons differentiated from ipsc
ALS AND motor neuron AND GPL570,GSM1676860,ALS with C9ORF72 mutation 08,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676859,ALS with C9ORF72 mutation 07,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676858,ALS with C9ORF72 mutation 06,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676857,ALS with C9ORF72 mutation 05,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676856,ALS with C9ORF72 mutation 04,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676855,ALS with C9ORF72 mutation 03,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676854,ALS with C9ORF72 mutation 02,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
ALS AND motor neuron AND GPL570,GSM1676853,ALS with C9ORF72 mutation 01,Homo sapiens,0.0,2015/05/08,False,,570,als with c9orf72 mutation_motor neurons
Huntington's disease AND control AND GPL570,GSE135589,2-year Longitudinal Analyses of Peripheral Blood RNA in Huntington's Disease gene-positive and control subjects,Homo sapiens,178.0,2020/09/23,True,Expression profiling by array,570,samples collected in the course of the track hd study and used to analyse association between gene expression in blood and symptomatic progression of huntington's disease longitudinal analysis of uhdrs tms versus gene expression in individual subjects followed by cross-sectional comparisons across phenotype groups at each timepoint
Huntington's disease AND control AND GPL570,GSE59051,Expression data from of HD-iPSC and CON-iPSC neuron derivatives,Homo sapiens,5.0,2015/09/02,True,Expression profiling by array,570,compared the global gene expression profiles of hd- and con-ipsc-derived neurons we used microarrays to detail the global programme of gene expression for comparing the global gene expression profiles of hd- and con-ipsc-derived neurons and facilitating studies of medium spiny neurons (msn)-degenerative processes of huntington's disease (hd).
Huntington's disease AND control AND GPL570,GSE34721,Continuous analysis captures cellular states that reflect dominant effects of the HTT CAG repeat in human lymphoblastoid cell lines.,Homo sapiens,227.0,2013/05/03,True,Expression profiling by array,570,"in huntington’s disease (hd), expanded htt cag repeat length correlates strongly with age at motor onset, indicating that it determines the rate of the disease process leading to diagnostic clinical manifestations. similarly, in normal individuals, htt cag repeat length is correlated with biochemical differences that reveal it as a functional polymorphism. here, we tested the hypothesis that gene expression signatures can capture continuous, length-dependent effects of the htt cag repeat. using gene expression datasets for 107 hd and control lymphoblastoid cell lines, we constructed mathematical models in an iterative manner, based upon cag correlated gene expression patterns in randomly chosen training samples, and tested their predictive power in test samples. predicted cag repeat lengths were significantly correlated with experimentally determined cag repeat lengths, whereas models based upon randomly permuted cags were not at all predictive. predictions from different batches of mrna for the same cell lines were significantly correlated, implying that cag length-correlated gene expression is reproducible. notably, htt expression was not itself correlated with htt cag repeat length. taken together, these findings confirm the concept of a gene expression signature representing the continuous effect of htt cag length and not primarily dependent on the level of huntingtin expression. such global and unbiased approaches, applied to additional cell types and tissues, may facilitate the discovery of therapies for hd by providing a comprehensive view of molecular changes triggered by htt cag repeat length for use in screening for and testing compounds that reverse effects of the htt cag expansion."
Huntington's disease AND control AND GPL570,GSE8762,Lymphocyte gene expression data from moderate stage HD patients and controls,Homo sapiens,22.0,2007/08/15,True,Expression profiling by array,570,"highly quantitative biomarkers of neurodegenerative disease remain an important need in the urgent quest for disease modifying therapies. for huntington's disease (hd), a genetic test is available (trait marker), but necessary state markers are still in development. in this report, we describe a large battery of transcriptomic tests explored as state biomarker candidates. in an attempt to exploit the known neuroinflammatory and transcriptional perturbations of disease, we measured relevant mrnas in peripheral blood cells. the performance of these potential markers was weak overall, with only one mrna, immediate early response 3 (ier3), showing a modest but significant increase of 32% in hd samples compared to controls. no statistically significant differences were found for any other mrnas tested, including a panel of 12 rna biomarkers identified in a previous report [borovecki f, lovrecic l, zhou j, jeong h, then f, rosas hd, hersch sm, hogarth p, bouzou b, jensen rv et al. (2005) proc natl acad sci u s a 102: 11023-11028]. the present results may nonetheless inform the future design and testing of hd biomarker strategies. keywords: rna biomarker screen"
Huntington's disease AND control AND GPL570,GDS2887,Moderate stage Huntington's disease lymphocytes,Homo sapiens,22.0,2007/08/15,True,Expression profiling by array,570,analysis of lymphocytes from patients with moderate stage huntington's disease (hd). results provide insight into the feasibility of using gene expression to identify biomarkers for moderate stage hd.
multiple sclerosis AND control AND GPL570,GSE83670,Gene expression profiling of the astrocyte transcriptome in multiple sclerosis normal appearing white matter reveals a neuroprotective role,Homo sapiens,7.0,2016/09/19,True,Expression profiling by array,570,gene expression profiling has been performed on astrocytes isolated using laser capture microdissection (lcm) from multiple sclerosis normal appearing white matter (nawm) and control wm to identify whether specific glial changes exist in nawm which contribute to lesion development or prevent disease progression
multiple sclerosis AND control AND GPL570,GSE68527,Gene expression studies of a human monocyte cell line identify dissimilarities between Copaxone and Probioglat,Homo sapiens,178.0,2015/05/22,True,Expression profiling by array,570,"glatiramer acetate (ga) has provided safe and effective treatment for multiple sclerosis (ms) patients for two decades. it acts as an antigen, yet the precise mechanism of action remains to be fully elucidated, and no validated pharmacokinetic or pharmacodynamic biomarkers exist. in order to better characterize ga’s biological impact, genome-wide expression studies were conducted with a human monocyte (thp-1) cell line. consistent with previous literature, branded ga upregulated antiinflammatory markers (e.g. il10), and modulated multiple immune-related pathways. despite some similarities, significant differences were observed between expression profiles induced by branded ga and probioglat, a differently-manufactured glatiramoid purported to be a generic ga."
